Title,Abstract,Authors,PublicationDate,DOI,Source
Artificial Intelligence in Glioma Imaging: Challenges and Advances,"Primary brain tumors including gliomas continue to pose significant
management challenges to clinicians. While the presentation, the pathology, and
the clinical course of these lesions are variable, the initial investigations
are usually similar. Patients who are suspected to have a brain tumor will be
assessed with computed tomography (CT) and magnetic resonance imaging (MRI).
The imaging findings are used by neurosurgeons to determine the feasibility of
surgical resection and plan such an undertaking. Imaging studies are also an
indispensable tool in tracking tumor progression or its response to treatment.
As these imaging studies are non-invasive, relatively cheap and accessible to
patients, there have been many efforts over the past two decades to increase
the amount of clinically-relevant information that can be extracted from brain
imaging. Most recently, artificial intelligence (AI) techniques have been
employed to segment and characterize brain tumors, as well as to detect
progression or treatment-response. However, the clinical utility of such
endeavours remains limited due to challenges in data collection and annotation,
model training, and the reliability of AI-generated information.
  We provide a review of recent advances in addressing the above challenges.
First, to overcome the challenge of data paucity, different image imputation
and synthesis techniques along with annotation collection efforts are
summarized. Next, various training strategies are presented to meet multiple
desiderata, such as model performance, generalization ability, data privacy
protection, and learning with sparse annotations. Finally, standardized
performance evaluation and model interpretability methods have been reviewed.
We believe that these technical approaches will facilitate the development of a
fully-functional AI tool in the clinical care of patients with gliomas.","Weina Jin, Mostafa Fatehi, Kumar Abhishek, Mayur Mallya, Brian Toyota, Ghassan Hamarneh",2019-11-28,10.1088/1741-2552/ab8131,arXiv
Patched Diffusion Models for Unsupervised Anomaly Detection in Brain MRI,"The use of supervised deep learning techniques to detect pathologies in brain
MRI scans can be challenging due to the diversity of brain anatomy and the need
for annotated data sets. An alternative approach is to use unsupervised anomaly
detection, which only requires sample-level labels of healthy brains to create
a reference representation. This reference representation can then be compared
to unhealthy brain anatomy in a pixel-wise manner to identify abnormalities. To
accomplish this, generative models are needed to create anatomically consistent
MRI scans of healthy brains. While recent diffusion models have shown promise
in this task, accurately generating the complex structure of the human brain
remains a challenge. In this paper, we propose a method that reformulates the
generation task of diffusion models as a patch-based estimation of healthy
brain anatomy, using spatial context to guide and improve reconstruction. We
evaluate our approach on data of tumors and multiple sclerosis lesions and
demonstrate a relative improvement of 25.1% compared to existing baselines.","Finn Behrendt, Debayan Bhattacharya, Julia Krüger, Roland Opfer, Alexander Schlaefer",2023-03-07,,arXiv
Temporally Adjustable Longitudinal Fluid-Attenuated Inversion Recovery MRI Estimation / Synthesis for Multiple Sclerosis,"Multiple Sclerosis (MS) is a chronic progressive neurological disease
characterized by the development of lesions in the white matter of the brain.
T2-fluid-attenuated inversion recovery (FLAIR) brain magnetic resonance imaging
(MRI) provides superior visualization and characterization of MS lesions,
relative to other MRI modalities. Longitudinal brain FLAIR MRI in MS, involving
repetitively imaging a patient over time, provides helpful information for
clinicians towards monitoring disease progression. Predicting future whole
brain MRI examinations with variable time lag has only been attempted in
limited applications, such as healthy aging and structural degeneration in
Alzheimer's Disease. In this article, we present novel modifications to deep
learning architectures for MS FLAIR image synthesis, in order to support
prediction of longitudinal images in a flexible continuous way. This is
achieved with learned transposed convolutions, which support modelling time as
a spatially distributed array with variable temporal properties at different
spatial locations. Thus, this approach can theoretically model
spatially-specific time-dependent brain development, supporting the modelling
of more rapid growth at appropriate physical locations, such as the site of an
MS brain lesion. This approach also supports the clinician user to define how
far into the future a predicted examination should target. Accurate prediction
of future rounds of imaging can inform clinicians of potentially poor patient
outcomes, which may be able to contribute to earlier treatment and better
prognoses. Four distinct deep learning architectures have been developed. The
ISBI2015 longitudinal MS dataset was used to validate and compare our proposed
approaches. Results demonstrate that a modified ACGAN achieves the best
performance and reduces variability in model accuracy.","Jueqi Wang, Derek Berger, Erin Mazerolle, Othman Soufan, Jacob Levman",2022-09-09,,arXiv
Scale-Space Autoencoders for Unsupervised Anomaly Segmentation in Brain MRI,"Brain pathologies can vary greatly in size and shape, ranging from few pixels
(i.e. MS lesions) to large, space-occupying tumors. Recently proposed
Autoencoder-based methods for unsupervised anomaly segmentation in brain MRI
have shown promising performance, but face difficulties in modeling
distributions with high fidelity, which is crucial for accurate delineation of
particularly small lesions. Here, similar to these previous works, we model the
distribution of healthy brain MRI to localize pathologies from erroneous
reconstructions. However, to achieve improved reconstruction fidelity at higher
resolutions, we learn to compress and reconstruct different frequency bands of
healthy brain MRI using the laplacian pyramid. In a range of experiments
comparing our method to different State-of-the-Art approaches on three
different brain MR datasets with MS lesions and tumors, we show improved
anomaly segmentation performance and the general capability to obtain much more
crisp reconstructions of input data at native resolution. The modeling of the
laplacian pyramid further enables the delineation and aggregation of lesions at
multiple scales, which allows to effectively cope with different pathologies
and lesion sizes using a single model.","Christoph Baur, Benedikt Wiestler, Shadi Albarqouni, Nassir Navab",2020-06-23,,arXiv
The role of noise in denoising models for anomaly detection in medical images,"Pathological brain lesions exhibit diverse appearance in brain images, in
terms of intensity, texture, shape, size, and location. Comprehensive sets of
data and annotations are difficult to acquire. Therefore, unsupervised anomaly
detection approaches have been proposed using only normal data for training,
with the aim of detecting outlier anomalous voxels at test time. Denoising
methods, for instance classical denoising autoencoders (DAEs) and more recently
emerging diffusion models, are a promising approach, however naive application
of pixelwise noise leads to poor anomaly detection performance. We show that
optimization of the spatial resolution and magnitude of the noise improves the
performance of different model training regimes, with similar noise parameter
adjustments giving good performance for both DAEs and diffusion models. Visual
inspection of the reconstructions suggests that the training noise influences
the trade-off between the extent of the detail that is reconstructed and the
extent of erasure of anomalies, both of which contribute to better anomaly
detection performance. We validate our findings on two real-world datasets
(tumor detection in brain MRI and hemorrhage/ischemia/tumor detection in brain
CT), showing good detection on diverse anomaly appearances. Overall, we find
that a DAE trained with coarse noise is a fast and simple method that gives
state-of-the-art accuracy. Diffusion models applied to anomaly detection are as
yet in their infancy and provide a promising avenue for further research.","Antanas Kascenas, Pedro Sanchez, Patrick Schrempf, Chaoyang Wang, William Clackett, Shadia S. Mikhael, Jeremy P. Voisey, Keith Goatman, Alexander Weir, Nicolas Pugeault, Sotirios A. Tsaftaris, Alison Q. O'Neil",2023-01-19,,arXiv
Mixed-UNet: Refined Class Activation Mapping for Weakly-Supervised Semantic Segmentation with Multi-scale Inference,"Deep learning techniques have shown great potential in medical image
processing, particularly through accurate and reliable image segmentation on
magnetic resonance imaging (MRI) scans or computed tomography (CT) scans, which
allow the localization and diagnosis of lesions. However, training these
segmentation models requires a large number of manually annotated pixel-level
labels, which are time-consuming and labor-intensive, in contrast to
image-level labels that are easier to obtain. It is imperative to resolve this
problem through weakly-supervised semantic segmentation models using
image-level labels as supervision since it can significantly reduce human
annotation efforts. Most of the advanced solutions exploit class activation
mapping (CAM). However, the original CAMs rarely capture the precise boundaries
of lesions. In this study, we propose the strategy of multi-scale inference to
refine CAMs by reducing the detail loss in single-scale reasoning. For
segmentation, we develop a novel model named Mixed-UNet, which has two parallel
branches in the decoding phase. The results can be obtained after fusing the
extracted features from two branches. We evaluate the designed Mixed-UNet
against several prevalent deep learning-based segmentation approaches on our
dataset collected from the local hospital and public datasets. The validation
results demonstrate that our model surpasses available methods under the same
supervision level in the segmentation of various lesions from brain imaging.","Yang Liu, Ersi Zhang, Lulu Xu, Chufan Xiao, Xiaoyun Zhong, Lijin Lian, Fang Li, Bin Jiang, Yuhan Dong, Lan Ma, Qiming Huang, Ming Xu, Yongbing Zhang, Dongmei Yu, Chenggang Yan, Peiwu Qin",2022-05-06,,arXiv
Challenging Current Semi-Supervised Anomaly Segmentation Methods for Brain MRI,"In this work, we tackle the problem of Semi-Supervised Anomaly Segmentation
(SAS) in Magnetic Resonance Images (MRI) of the brain, which is the task of
automatically identifying pathologies in brain images. Our work challenges the
effectiveness of current Machine Learning (ML) approaches in this application
domain by showing that thresholding Fluid-attenuated inversion recovery (FLAIR)
MR scans provides better anomaly segmentation maps than several different
ML-based anomaly detection models. Specifically, our method achieves better
Dice similarity coefficients and Precision-Recall curves than the competitors
on various popular evaluation data sets for the segmentation of tumors and
multiple sclerosis lesions.","Felix Meissen, Georgios Kaissis, Daniel Rueckert",2021-09-13,10.1007/978-3-031-08999-2_5,arXiv
View-Disentangled Transformer for Brain Lesion Detection,"Deep neural networks (DNNs) have been widely adopted in brain lesion
detection and segmentation. However, locating small lesions in 2D MRI slices is
challenging, and requires to balance between the granularity of 3D context
aggregation and the computational complexity. In this paper, we propose a novel
view-disentangled transformer to enhance the extraction of MRI features for
more accurate tumour detection. First, the proposed transformer harvests
long-range correlation among different positions in a 3D brain scan. Second,
the transformer models a stack of slice features as multiple 2D views and
enhance these features view-by-view, which approximately achieves the 3D
correlation computing in an efficient way. Third, we deploy the proposed
transformer module in a transformer backbone, which can effectively detect the
2D regions surrounding brain lesions. The experimental results show that our
proposed view-disentangled transformer performs well for brain lesion detection
on a challenging brain MRI dataset.","Haofeng Li, Junjia Huang, Guanbin Li, Zhou Liu, Yihong Zhong, Yingying Chen, Yunfei Wang, Xiang Wan",2022-09-20,10.1109/ISBI52829.2022.9761542,arXiv
Subject-Specific Lesion Generation and Pseudo-Healthy Synthesis for Multiple Sclerosis Brain Images,"Understanding the intensity characteristics of brain lesions is key for
defining image-based biomarkers in neurological studies and for predicting
disease burden and outcome. In this work, we present a novel foreground-based
generative method for modelling the local lesion characteristics that can both
generate synthetic lesions on healthy images and synthesize subject-specific
pseudo-healthy images from pathological images. Furthermore, the proposed
method can be used as a data augmentation module to generate synthetic images
for training brain image segmentation networks. Experiments on multiple
sclerosis (MS) brain images acquired on magnetic resonance imaging (MRI)
demonstrate that the proposed method can generate highly realistic
pseudo-healthy and pseudo-pathological brain images. Data augmentation using
the synthetic images improves the brain image segmentation performance compared
to traditional data augmentation methods as well as a recent lesion-aware data
augmentation technique, CarveMix. The code will be released at
https://github.com/dogabasaran/lesion-synthesis.","Berke Doga Basaran, Mengyun Qiao, Paul M. Matthews, Wenjia Bai",2022-08-03,,arXiv
Prior Attention Network for Multi-Lesion Segmentation in Medical Images,"The accurate segmentation of multiple types of lesions from adjacent tissues
in medical images is significant in clinical practice. Convolutional neural
networks (CNNs) based on the coarse-to-fine strategy have been widely used in
this field. However, multi-lesion segmentation remains to be challenging due to
the uncertainty in size, contrast, and high interclass similarity of tissues.
In addition, the commonly adopted cascaded strategy is rather demanding in
terms of hardware, which limits the potential of clinical deployment. To
address the problems above,we propose a novel Prior Attention Network (PANet)
that follows the coarse-to-fine strategy to perform multi-lesion segmentation
in medical images. The proposed network achieves the two steps of segmentation
in a single network by inserting lesion-related spatial attention mechanism in
the network. Further, we also propose the intermediate supervision strategy for
generating lesion-related attention to acquire the regions of interest (ROIs),
which accelerates the convergence and obviously improves the segmentation
performance. We have investigated the proposed segmentation framework in two
applications: 2D segmentation of multiple lung infections in lung CT slices and
3D segmentation of multiple lesions in brain MRIs. Experimental results show
that in both 2D and 3D segmentation tasks our proposed network achieves better
performance with less computational cost compared with cascaded networks. The
proposed network can be regarded as a universal solution to multi-lesion
segmentation in both 2D and 3D tasks. The source code is available at:
https://github.com/hsiangyuzhao/PANet.","Xiangyu Zhao, Peng Zhang, Fan Song, Chenbin Ma, Guangda Fan, Yangyang Sun, Youdan Feng, Guanglei Zhang",2021-10-10,,arXiv
UNet#: A UNet-like Redesigning Skip Connections for Medical Image Segmentation,"As an essential prerequisite for developing a medical intelligent assistant
system, medical image segmentation has received extensive research and
concentration from the neural network community. A series of UNet-like networks
with encoder-decoder architecture has achieved extraordinary success, in which
UNet2+ and UNet3+ redesign skip connections, respectively proposing dense skip
connection and full-scale skip connection and dramatically improving compared
with UNet in medical image segmentation. However, UNet2+ lacks sufficient
information explored from the full scale, which will affect the learning of
organs' location and boundary. Although UNet3+ can obtain the full-scale
aggregation feature map, owing to the small number of neurons in the structure,
it does not satisfy the segmentation of tiny objects when the number of samples
is small. This paper proposes a novel network structure combining dense skip
connections and full-scale skip connections, named UNet-sharp (UNet\#) for its
shape similar to symbol \#. The proposed UNet\# can aggregate feature maps of
different scales in the decoder sub-network and capture fine-grained details
and coarse-grained semantics from the full scale, which benefits learning the
exact location and accurately segmenting the boundary of organs or lesions. We
perform deep supervision for model pruning to speed up testing and make it
possible for the model to run on mobile devices; furthermore, designing two
classification-guided modules to reduce false positives achieves more accurate
segmentation results. Various experiments of semantic segmentation and instance
segmentation on different modalities (EM, CT, MRI) and dimensions (2D, 3D)
datasets, including the nuclei, brain tumor, liver, and lung, demonstrate that
the proposed method outperforms state-of-the-art models.","Ledan Qian, Xiao Zhou, Yi Li, Zhongyi Hu",2022-05-24,,arXiv
A Radiomics Approach to Traumatic Brain Injury Prediction in CT Scans,"Computer Tomography (CT) is the gold standard technique for brain damage
evaluation after acute Traumatic Brain Injury (TBI). It allows identification
of most lesion types and determines the need of surgical or alternative
therapeutic procedures. However, the traditional approach for lesion
classification is restricted to visual image inspection. In this work, we
characterize and predict TBI lesions by using CT-derived radiomics descriptors.
Relevant shape, intensity and texture biomarkers characterizing the different
lesions are isolated and a lesion predictive model is built by using Partial
Least Squares. On a dataset containing 155 scans (105 train, 50 test) the
methodology achieved 89.7 % accuracy over the unseen data. When a model was
build using only texture features, a 88.2 % accuracy was obtained. Our results
suggest that selected radiomics descriptors could play a key role in brain
injury prediction. Besides, the proposed methodology is close to reproduce
radiologists decision making. These results open new possibilities for
radiomics-inspired brain lesion detection, segmentation and prediction.","Ezequiel de la Rosa, Diana M. Sima, Thijs Vande Vyvere, Jan S. Kirschke, Bjoern Menze",2018-11-14,10.1109/ISBI.2019.8759229,arXiv
ReFuSeg: Regularized Multi-Modal Fusion for Precise Brain Tumour Segmentation,"Semantic segmentation of brain tumours is a fundamental task in medical image
analysis that can help clinicians in diagnosing the patient and tracking the
progression of any malignant entities. Accurate segmentation of brain lesions
is essential for medical diagnosis and treatment planning. However, failure to
acquire specific MRI imaging modalities can prevent applications from operating
in critical situations, raising concerns about their reliability and overall
trustworthiness. This paper presents a novel multi-modal approach for brain
lesion segmentation that leverages information from four distinct imaging
modalities while being robust to real-world scenarios of missing modalities,
such as T1, T1c, T2, and FLAIR MRI of brains. Our proposed method can help
address the challenges posed by artifacts in medical imagery due to data
acquisition errors (such as patient motion) or a reconstruction algorithm's
inability to represent the anatomy while ensuring a trade-off in accuracy. Our
proposed regularization module makes it robust to these scenarios and ensures
the reliability of lesion segmentation.","Aditya Kasliwal, Sankarshanaa Sagaram, Laven Srivastava, Pratinav Seth, Adil Khan",2023-08-26,,arXiv
Leveraging 3D Information in Unsupervised Brain MRI Segmentation,"Automatic segmentation of brain abnormalities is challenging, as they vary
considerably from one pathology to another. Current methods are supervised and
require numerous annotated images for each pathology, a strenuous task. To
tackle anatomical variability, Unsupervised Anomaly Detection (UAD) methods are
proposed, detecting anomalies as outliers of a healthy model learned using a
Variational Autoencoder (VAE). Previous work on UAD adopted a 2D approach,
meaning that MRIs are processed as a collection of independent slices. Yet, it
does not fully exploit the spatial information contained in MRI. Here, we
propose to perform UAD in a 3D fashion and compare 2D and 3D VAEs. As a side
contribution, we present a new loss function guarantying a robust training.
Learning is performed using a multicentric dataset of healthy brain MRIs, and
segmentation performances are estimated on White-Matter Hyperintensities and
tumors lesions. Experiments demonstrate the interest of 3D methods which
outperform their 2D counterparts.","Benjamin Lambert, Maxime Louis, Senan Doyle, Florence Forbes, Michel Dojat, Alan Tucholka",2021-01-26,,arXiv
Lesion-Specific Prediction with Discriminator-Based Supervised Guided Attention Module Enabled GANs in Multiple Sclerosis,"Multiple Sclerosis (MS) is a chronic neurological condition characterized by
the development of lesions in the white matter of the brain. T2-fluid
attenuated inversion recovery (FLAIR) brain magnetic resonance imaging (MRI)
provides superior visualization and characterization of MS lesions, relative to
other MRI modalities. Follow-up brain FLAIR MRI in MS provides helpful
information for clinicians towards monitoring disease progression. In this
study, we propose a novel modification to generative adversarial networks
(GANs) to predict future lesion-specific FLAIR MRI for MS at fixed time
intervals. We use supervised guided attention and dilated convolutions in the
discriminator, which supports making an informed prediction of whether the
generated images are real or not based on attention to the lesion area, which
in turn has potential to help improve the generator to predict the lesion area
of future examinations more accurately. We compared our method to several
baselines and one state-of-art CF-SAGAN model [1]. In conclusion, our results
indicate that the proposed method achieves higher accuracy and reduces the
standard deviation of the prediction errors in the lesion area compared with
other models with similar overall performance.","Jueqi Wang, Derek Berger, Erin Mazerolle, Jean-Alexis Delamer, Jacob Levman",2022-08-30,,arXiv
Discrepancy-based Diffusion Models for Lesion Detection in Brain MRI,"Diffusion probabilistic models (DPMs) have exhibited significant
effectiveness in computer vision tasks, particularly in image generation.
However, their notable performance heavily relies on labelled datasets, which
limits their application in medical images due to the associated high-cost
annotations. Current DPM-related methods for lesion detection in medical
imaging, which can be categorized into two distinct approaches, primarily rely
on image-level annotations. The first approach, based on anomaly detection,
involves learning reference healthy brain representations and identifying
anomalies based on the difference in inference results. In contrast, the second
approach, resembling a segmentation task, employs only the original brain
multi-modalities as prior information for generating pixel-level annotations.
In this paper, our proposed model - discrepancy distribution medical diffusion
(DDMD) - for lesion detection in brain MRI introduces a novel framework by
incorporating distinctive discrepancy features, deviating from the conventional
direct reliance on image-level annotations or the original brain modalities. In
our method, the inconsistency in image-level annotations is translated into
distribution discrepancies among heterogeneous samples while preserving
information within homogeneous samples. This property retains pixel-wise
uncertainty and facilitates an implicit ensemble of segmentation, ultimately
enhancing the overall detection performance. Thorough experiments conducted on
the BRATS2020 benchmark dataset containing multimodal MRI scans for brain
tumour detection demonstrate the great performance of our approach in
comparison to state-of-the-art methods.","Keqiang Fan, Xiaohao Cai, Mahesan Niranjan",2024-05-08,,arXiv
Feasibility of Federated Learning from Client Databases with Different Brain Diseases and MRI Modalities,"Segmentation models for brain lesions in MRI are typically developed for a
specific disease and trained on data with a predefined set of MRI modalities.
Such models cannot segment the disease using data with a different set of MRI
modalities, nor can they segment other types of diseases. Moreover, this
training paradigm prevents a model from using the advantages of learning from
heterogeneous databases that may contain scans and segmentation labels for
different brain pathologies and diverse sets of MRI modalities. Additionally,
the confidentiality of patient data often prevents central data aggregation,
necessitating a decentralized approach. Is it feasible to use Federated
Learning (FL) to train a single model on client databases that contain scans
and labels of different brain pathologies and diverse sets of MRI modalities?
We demonstrate promising results by combining appropriate, simple, and
practical modifications to the model and training strategy: Designing a model
with input channels that cover the whole set of modalities available across
clients, training with random modality drop, and exploring the effects of
feature normalization methods. Evaluation on 7 brain MRI databases with 5
different diseases shows that this FL framework can train a single model
achieving very promising results in segmenting all disease types seen during
training. Importantly, it can segment these diseases in new databases that
contain sets of modalities different from those in training clients. These
results demonstrate, for the first time, the feasibility and effectiveness of
using FL to train a single 3D segmentation model on decentralised data with
diverse brain diseases and MRI modalities, a necessary step towards leveraging
heterogeneous real-world databases. Code:
https://github.com/FelixWag/FedUniBrain","Felix Wagner, Wentian Xu, Pramit Saha, Ziyun Liang, Daniel Whitehouse, David Menon, Virginia Newcombe, Natalie Voets, J. Alison Noble, Konstantinos Kamnitsas",2024-06-17,,arXiv
Fast Unsupervised Brain Anomaly Detection and Segmentation with Diffusion Models,"Deep generative models have emerged as promising tools for detecting
arbitrary anomalies in data, dispensing with the necessity for manual
labelling. Recently, autoregressive transformers have achieved state-of-the-art
performance for anomaly detection in medical imaging. Nonetheless, these models
still have some intrinsic weaknesses, such as requiring images to be modelled
as 1D sequences, the accumulation of errors during the sampling process, and
the significant inference times associated with transformers. Denoising
diffusion probabilistic models are a class of non-autoregressive generative
models recently shown to produce excellent samples in computer vision
(surpassing Generative Adversarial Networks), and to achieve log-likelihoods
that are competitive with transformers while having fast inference times.
Diffusion models can be applied to the latent representations learnt by
autoencoders, making them easily scalable and great candidates for application
to high dimensional data, such as medical images. Here, we propose a method
based on diffusion models to detect and segment anomalies in brain imaging. By
training the models on healthy data and then exploring its diffusion and
reverse steps across its Markov chain, we can identify anomalous areas in the
latent space and hence identify anomalies in the pixel space. Our diffusion
models achieve competitive performance compared with autoregressive approaches
across a series of experiments with 2D CT and MRI data involving synthetic and
real pathological lesions with much reduced inference times, making their usage
clinically viable.","Walter H. L. Pinaya, Mark S. Graham, Robert Gray, Pedro F Da Costa, Petru-Daniel Tudosiu, Paul Wright, Yee H. Mah, Andrew D. MacKinnon, James T. Teo, Rolf Jager, David Werring, Geraint Rees, Parashkev Nachev, Sebastien Ourselin, M. Jorge Cardoso",2022-06-07,,arXiv
SAM vs BET: A Comparative Study for Brain Extraction and Segmentation of Magnetic Resonance Images using Deep Learning,"Brain extraction is a critical preprocessing step in various neuroimaging
studies, particularly enabling accurate separation of brain from non-brain
tissue and segmentation of relevant within-brain tissue compartments and
structures using Magnetic Resonance Imaging (MRI) data. FSL's Brain Extraction
Tool (BET), although considered the current gold standard for automatic brain
extraction, presents limitations and can lead to errors such as over-extraction
in brains with lesions affecting the outer parts of the brain, inaccurate
differentiation between brain tissue and surrounding meninges, and
susceptibility to image quality issues. Recent advances in computer vision
research have led to the development of the Segment Anything Model (SAM) by
Meta AI, which has demonstrated remarkable potential in zero-shot segmentation
of objects in real-world scenarios. In the current paper, we present a
comparative analysis of brain extraction techniques comparing SAM with a widely
used and current gold standard technique called BET on a variety of brain scans
with varying image qualities, MR sequences, and brain lesions affecting
different brain regions. We find that SAM outperforms BET based on average Dice
coefficient, IoU and accuracy metrics, particularly in cases where image
quality is compromised by signal inhomogeneities, non-isotropic voxel
resolutions, or the presence of brain lesions that are located near (or
involve) the outer regions of the brain and the meninges. In addition, SAM has
also unsurpassed segmentation properties allowing a fine grain separation of
different issue compartments and different brain structures. These results
suggest that SAM has the potential to emerge as a more accurate, robust and
versatile tool for a broad range of brain extraction and segmentation
applications.","Sovesh Mohapatra, Advait Gosai, Gottfried Schlaug",2023-04-10,,arXiv
Change in structural brain network abnormalities after traumatic brain injury determines post-injury recovery,"The trajectory of an individual's recovery after traumatic brain injury (TBI)
is heterogeneous, with complete recovery in some cases but persistent
disability in others. We hypothesized that changes in structural brain network
abnormalities guide the trajectory of an individual's recovery post-injury. Our
objective was to characterize the variability in recovery post-TBI by
identifying a putative neuroimaging biomarker of traumatic axonal injury (TAI)
in individuals with mild TBI.
  We analyzed 70 T1-weighted and diffusion MRIs longitudinally collected from
35 individuals during the subacute and chronic post-injury periods. Each
individual underwent longitudinal blood work to characterize blood protein
biomarkers of axonal and glial injury and assessment of post-injury recovery in
the subacute and chronic periods. By comparing the MRI data of individual cases
with 35 controls, we estimated the longitudinal change in structural brain
network abnormalities. We validated this proxy measure of TAI with independent
measures of acute intracranial injury estimated from head CT and blood protein
biomarkers.
  Post-injury structural network abnormality was significantly higher than
controls in both subacute and chronic periods, associated with an acute CT
lesion and subacute blood levels of glial fibrillary acid protein (r=0.5,
p=0.008) and neurofilament light (r=0.41, p=0.02). Longitudinal change in
abnormality associated with change in functional outcome status (r=-0.51,
p=0.003) and post-concussive symptoms (BSI: r=0.46, p=0.03; RPQ:r = 0.46,
p=0.02). Brain regions that most closely mapped onto symptom change over time
corresponded to structural network hubs or areas susceptible to neurotrauma.
  Structural network abnormalities might be a biomarker of TAI. Assessing
changes in brain network abnormality might enable better patient stratification
for monitoring recovery after neurotrauma.","James J Gugger, Nishant Sinha, Yiming Huang, Alexa Walter, Cillian Lynch, Justin Morrison, Nathan Smyk, Danielle Sandsmark, Ramon Diaz-Arrastia, Kathryn A Davis",2022-05-29,,arXiv
A Contrast-Adaptive Method for Simultaneous Whole-Brain and Lesion Segmentation in Multiple Sclerosis,"Here we present a method for the simultaneous segmentation of white matter
lesions and normal-appearing neuroanatomical structures from multi-contrast
brain MRI scans of multiple sclerosis patients. The method integrates a novel
model for white matter lesions into a previously validated generative model for
whole-brain segmentation. By using separate models for the shape of anatomical
structures and their appearance in MRI, the algorithm can adapt to data
acquired with different scanners and imaging protocols without retraining. We
validate the method using four disparate datasets, showing robust performance
in white matter lesion segmentation while simultaneously segmenting dozens of
other brain structures. We further demonstrate that the contrast-adaptive
method can also be safely applied to MRI scans of healthy controls, and
replicate previously documented atrophy patterns in deep gray matter structures
in MS. The algorithm is publicly available as part of the open-source
neuroimaging package FreeSurfer.","Stefano Cerri, Oula Puonti, Dominik S. Meier, Jens Wuerfel, Mark Mühlau, Hartwig R. Siebner, Koen Van Leemput",2020-05-11,10.1016/j.neuroimage.2020.117471,arXiv
Unsupervised Anomaly Detection in 3D Brain MRI using Deep Learning with impured training data,"The detection of lesions in magnetic resonance imaging (MRI)-scans of human
brains remains challenging, time-consuming and error-prone. Recently,
unsupervised anomaly detection (UAD) methods have shown promising results for
this task. These methods rely on training data sets that solely contain healthy
samples. Compared to supervised approaches, this significantly reduces the need
for an extensive amount of labeled training data. However, data labelling
remains error-prone. We study how unhealthy samples within the training data
affect anomaly detection performance for brain MRI-scans. For our evaluations,
we consider three publicly available data sets and use autoencoders (AE) as a
well-established baseline method for UAD. We systematically evaluate the effect
of impured training data by injecting different quantities of unhealthy samples
to our training set of healthy samples from T1-weighted MRI-scans. We evaluate
a method to identify falsely labeled samples directly during training based on
the reconstruction error of the AE. Our results show that training with impured
data decreases the UAD performance notably even with few falsely labeled
samples. By performing outlier removal directly during training based on the
reconstruction-loss, we demonstrate that falsely labeled data can be detected
and removed to mitigate the effect of falsely labeled data. Overall, we
highlight the importance of clean data sets for UAD in brain MRI and
demonstrate an approach for detecting falsely labeled data directly during
training.","Finn Behrendt, Marcel Bengs, Frederik Rogge, Julia Krüger, Roland Opfer, Alexander Schlaefer",2022-04-12,,arXiv
Structure Regularized Attentive Network for Automatic Femoral Head Necrosis Diagnosis and Localization,"In recent years, several works have adopted the convolutional neural network
(CNN) to diagnose the avascular necrosis of the femoral head (AVNFH) based on
X-ray images or magnetic resonance imaging (MRI). However, due to the tissue
overlap, X-ray images are difficult to provide fine-grained features for early
diagnosis. MRI, on the other hand, has a long imaging time, is more expensive,
making it impractical in mass screening. Computed tomography (CT) shows
layer-wise tissues, is faster to image, and is less costly than MRI. However,
to our knowledge, there is no work on CT-based automated diagnosis of AVNFH. In
this work, we collected and labeled a large-scale dataset for AVNFH ranking. In
addition, existing end-to-end CNNs only yields the classification result and
are difficult to provide more information for doctors in diagnosis. To address
this issue, we propose the structure regularized attentive network (SRANet),
which is able to highlight the necrotic regions during classification based on
patch attention. SRANet extracts features in chunks of images, obtains weight
via the attention mechanism to aggregate the features, and constrains them by a
structural regularizer with prior knowledge to improve the generalization.
SRANet was evaluated on our AVNFH-CT dataset. Experimental results show that
SRANet is superior to CNNs for AVNFH classification, moreover, it can localize
lesions and provide more information to assist doctors in diagnosis. Our codes
are made public at https://github.com/tomas-lilingfeng/SRANet.","Lingfeng Li, Huaiwei Cong, Gangming Zhao, Junran Peng, Zheng Zhang, Jinpeng Li",2022-08-23,,arXiv
